标题,总价,单价,区域,房屋户型,建筑面积,户型结构,建筑类型,所在楼层,楼层高度,套内面积,房屋朝向,建筑结构,装修情况,户梯比例,配备电梯,周边配套,交通出行
金花小区 独栋小洋房 罕见放盘 梦想改造,298,42324,荔湾,3室3厅3卫,70.41㎡,平层,暂无数据,低楼层(共1层),暂无数据,70.41㎡,东南西南,钢混结构,简装,,,500米范围内配套有：流花湖公园、陈家祠道广场、商场：盒马鲜生、家乐福、华润杤家、~、市场：西华市场、菜篮子市场、金花市场~、配套齐全。,1号线西门口地铁站1号线8号线陈家祠站各步行约500米~、公交车站：人民北路站~、中山七路站西华路站康王北路站
龙湾路 精装修一房 年底地铁站就通车了,138,33610,荔湾,1室1厅1卫,41.06㎡,平层,塔楼,高楼层(共7层),暂无数据,36.45㎡,南,钢混结构,其他,,,公园：醉观公园步行约700米。医院：慈善医院步行约2000米~、两个公交站。地铁：一号线芳村站1200米。市场：步行约1500米~、沃尔玛市场步行约2500米.,地铁1号线芳村站步行约1200米~、在建11号线石围塘站会更加近该单位~、大概2022年投入使用。山村公交车~、19~、52~、193~、277~、206~、309~、812~、74~、57~、55等多路公交途经.
原装电梯3房  双阳台满五唯一,190,24631,荔湾,3室2厅1卫,77.14㎡,平层,塔楼,低楼层(共10层),暂无数据,67.68㎡,南,钢混结构,简装,,有,家润商店、荟萃商场医院：广州中医药大学第三附属医院芳村分院邮局：芳村大道西邮政所银行：工商银行、农业银行、芳村大道西邮政储蓄,家润商店、荟萃商场医院：广州中医药大学第三附属医院芳村分院邮局：芳村大道西邮政所银行：工商银行、农业银行、芳村大道西邮政储蓄
户型方正南北对流采光通风好~、套内实用面积九成八,160,22021,荔湾,2室1厅1卫,72.66㎡,平层,塔楼,高楼层(共7层),暂无数据,65.65㎡,东南,钢混结构,简装,,,市场：清平路肉菜市场~、多宝路肉菜市场；医院：荔湾区中医院~、广州市第三附属医院；幼儿园：多宝幼儿园；购物：~、西城都荟。荔湾湖公园~、沙面岛景区荔湾湖公园100米；广州市第三附属医院200米；多宝路菜市场500米；购物：恒宝广场~、西城都荟,步行500米就到六号线的长寿路地铁B口~、步行100米就到地铁六号如意坊站C口~、500米西城都荟大型商城~、可坐到地铁一号线长寿路站~、或者换乘到六号线金沙洲方向去到广州任意地区
急急急看房华发一定要看这套 业主说喜欢 爽快帮你拿下,460,49789,荔湾,3室1厅2卫,92.39㎡,平层,塔楼,中楼层(共37层),暂无数据,70.97㎡,东西,钢混结构,精装,,有,,有四条地铁很方便的公交路线也多这里除了没飞机站其他代步出门就有好方便
大型社区~、小区管理~、户型方正好用~、中楼层,142,20088,荔湾,2室2厅1卫,70.69㎡,平层,塔楼,中楼层(共9层),暂无数据,暂无,南北,钢混结构,其他,,有,生活配套成熟、肉菜市场、儿童乐园、医院、银行、宾馆酒楼~、衣食住行。交通方便户型方正装修新净小区绿化环境好,私家车和公交车都方便出行小区北门有公交车总站有52号64号277号121号780号769号417号等公交线路小区路口出来就可以上环城高速
双地铁~、框架结构~、采光通风~、小区管理。,90,22201,荔湾,2室1厅1卫,40.54㎡,平层,塔楼,高楼层(共7层),暂无数据,暂无,东,混合结构,其他,,,500米沃尔玛~、西场菜市场~、距离荔湾中医院400米~、西村派出所300米~、还有周记茶餐厅~、中国建设银行等~、的配套设施成熟~、麦当劳~、交通生活便利。离小区一公里内有4所幼~、4所小~、4所中~、菜市场、小吃店、快餐店、公园、游泳池、银行、医院等设施齐全,距离地铁5号线西场站200米（在建13号线也在此站交汇换乘）公交车：215~、134~、527~、521~、4~、80~、114~、253~、B3~、88~、276~、268~、261~、12~、196~、253~、305~、212~、46~、283~、17~、高峰283~、高峰B3~、高峰59~、夜21~、夜45~、夜3~、夜30~、夜16......贯通主城五区
西华路电梯中层 南北对流 采光靓 通风也不错 赞,465,38084,荔湾,4室1厅2卫,122.1㎡,平层,塔楼,中楼层(共9层),暂无数据,暂无,南,钢混结构,精装,,有,市少年宫及流花湖公园步行600米；市一医院~、陆总医院~、省中医医院；金花肉菜市场、西华路肉菜市场~、西门口华润杤家。康王北路地下美食服装城~、西华路美食一条街~、距公园前和北京路仅1个地铁站~、楼下500米内工商银行、广州银行、中国银行、建设银行。,地处越秀荔湾交汇处~、交通出行便利~、600米有地铁一号线西门口站~、公交车站有中山七路站和西门口站~、还有人民北路站和西华路站~、交通四通八达~、轻松出行
东南靓向单边低层三房 小区管理,168,19946,荔湾,3室2厅1卫,84.23㎡,平层,塔楼,低楼层(共9层),暂无数据,暂无,东南,钢混结构,其他,,有,桥东大型肉菜市场~、钱大妈~、生活购物方便~、小区内自带幼儿园~、距离小区210米左右是广州中医药大学第三附属医院~、1公里范围内还有中国四大行~、水局~、供电局~、办事方便,1、交通便利~、小区步行500米到五号线滘口地铁站~、可通往中山八~、淘金~、珠江新城等；2、小区旁边有滘口汽车总站~、有多条路线通往广州各区~、出行便利。
蓬莱路 4室1厅 南,390,31610,荔湾,4室1厅1卫,123.38㎡,平层,板楼,低楼层(共3层),暂无数据,暂无,南,砖混结构,其他,,,,
刚需上车  师范街道  交通便利,128,24344,荔湾,2室1厅1卫,52.58㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,东南,钢混结构,其他,,,近恒宝广场~、上下九步行街~、步行200米左右到达恒宝广场和西城都荟~、各大品牌汇集在这里。满足各种需求有多间三甲医院各种生活便利早晚..,地铁一号线《长寿路地铁站》~、公交站恒宝广场公交总站。262~、541~、55.207226等
电梯高层改善型三房 交通方便 楼龄新,205,23890,荔湾,3室1厅1卫,85.81㎡,平层,塔楼,高楼层(共9层),暂无数据,77㎡,东南,钢混结构,简装,,有,小区带篮球场~、楼下有公交车站~、如意市场~、桥梓肉菜市场、还有工商银行、建行、社区医院、惠客多市场、生活便利,小区距石围塘站约50米：有277、19、52、75、57、281、206、等十多路公交车途经广州各个城区~、可接驳地铁1号线芳村站、地铁5号线滘口站~、交通快捷便利~、出行方便。地铁11号线在施工年底开通
中海花湾壹号C区低楼层 格式方正 采光充足小3房,425,50470,荔湾,3室2厅1卫,84.21㎡,平层,塔楼,低楼层(共56层),暂无数据,暂无,北,钢混结构,精装,,有,中海花湾壹号分为ABCD四个区此房是在C区实属旺中带静多栋高层住宅组成独立花园小区小区分东南西北四个门有肯德基麦当.劳~、24小时便利店早茶餐饮一体步行可到村菜市场西朗农贸市场,广佛线（鹤洞地铁站）~、1号线（西塱地铁站）。公交车站（鹤洞路西站）：181~、19~、217~、222~、275~、285~、410~、565~、583~、69~、70~、71~、769~、770~、787~、811~、91等公交车路线~、出行十分便利
花园小区电梯平层南北对流厅出阳台配套成熟环境好,110,26191,荔湾,1室1厅1卫,42㎡,平层,塔楼,低楼层(共9层),暂无数据,暂无,北,钢混结构,简装,,有,怡芳苑位于芳村大型生活配套。占地大。小区内部配套幼稚园~、少年宫~、沃尔玛~、醉观公园等,距离芳村一号线800米直线~、小区门口有各路公交站~、直达广州各区~、出行方便
满五非唯一~、西村5/8号线双地铁100米~、环市西~、位置好,110,28736,荔湾,2室1厅1卫,38.28㎡,平层,暂无数据,中楼层(共6层),暂无数据,暂无,西北,混合结构,简装,,,购物：悦荟城、若比邻商场医院：荔湾第二人民医院餐饮：真功夫、肯德基、麦当劳、食为天、老伙计茶楼、周记饭店、小炳胜等等银行：建设银行农业银行,西村地铁5号线、8号线；公交：广231路、广260路、广275路、238路、52路、823路、530路、552路、5路、175路、179路、241路、524路、538路、545路、274路、291A/B路环线、42路、225路、198
交通方便~、东南向~、满五年唯一~、业主自住,200,31211,荔湾,2室1厅1卫,64.08㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,东南,钢混结构,精装,,,,交通便利：公交车站是山村站~、有多达10多条公交线路经过此站~、地铁11号线石围塘站距离本小区约600米
格局方正~、大型小区~、一线江景~、视野开阔,399,41992,荔湾,3室2厅1卫,95.02㎡,平层,塔楼,中楼层(共26层),暂无数据,78.1㎡,西北,钢混结构,精装,,有,,交通出行：小区大门距离6号线河沙地铁站500米~、小区旁边200米有公交车总站出行方便。
振业天颂花园 低密度小区 南北对流 通风采光好,718,50210,荔湾,4室2厅2卫,143㎡,平层,塔楼,中楼层(共25层),暂无数据,114.51㎡,东南南,钢混结构,精装,,有,商圈：肯德基、麦当劳、星巴克、屈臣氏、便利店、餐饮店；银行：中国银行、工商银行、农业银行、华夏银行、招商银行、建设银行、民生银行、光大银行、兴业银行、民生银行等；医疗：荔湾区第三人民医院、荔湾区人民医院~、广钢医院公园：公园：广钢公园,出行便利：目前已开通2条地铁线1号线西塱站广佛线鹤洞站~、2024年底开通11号线鹤洞东站~、公交车站鹤洞路西站：181~、19~、217~、222~、275~、285~、410~、565~、583~、69~、70~、71~、769~、770~、787~、811~、91等公交车路线
彩虹桥地铁站 流花公园旁 原装电梯商品房,89,35643,荔湾,1室0厅0卫,24.97㎡,平层,塔楼,中楼层(共18层),暂无数据,20.01㎡,北,钢混结构,其他,,有,购物：华润家、新光城光荟、动感小西关；医院：广州医学院荔湾医院、市一人民医院银行：建设银行、工商银行、中国银行。步行200米有小梅大街市场~、东川新街市.彩虹市场。步行500米流花湖公园~、楼下是彩虹文化广场。,虹桥地铁站8号线步行100米~、彩虹桥站为8号线北延段~、11号环城线和13号东西线~、22号地铁站四条地铁线路交汇大型中转站。
低密度小区~、通风采光好~、业主诚心卖,628,47823,荔湾,4室2厅2卫,131.32㎡,平层,塔楼,中楼层(共27层),暂无数据,暂无,南,钢混结构,精装,,有,商圈肯德基、麦当劳、星巴克、屈臣氏；银行：中国银行、工商银行、农业银行、华夏银行、民生银行~、建设银行~、招商银行~、兴业银行~、广州银行~、光大银行等医疗：荔湾区第三人民医院、荔湾区人民医院、广钢医院（都是三级甲等医院）。,出行便捷楼下有公交车站19路、787路。如约巴士。地铁广佛线鹤洞站距离300米~、1号线西朗站1.1公里~、11号线1公里即可到达。
双地铁一号线六号线~、封闭式管理,690,52717,荔湾,3室2厅2卫,130.89㎡,平层,塔楼,高楼层(共36层),暂无数据,106.05㎡,东北,钢混结构,其他,,有,有空中花园~、游泳池~、楼下为西城都荟~、双地铁地铁一号线六号线黄沙站~、黄沙公交总站一公里范围内有沙面岛公园~、沙面公园~、黄沙海产批发市场~、上下九步行街~、广州市中医院,小区楼下是1/6号线黄沙地铁站~、领展购物大商场~、黄沙公交总站。
该房屋视野开阔无遮挡~、户型格局方正,253,29108,荔湾,3室1厅1卫,86.92㎡,平层,板楼,中楼层(共9层),暂无数据,暂无,南北,钢混结构,简装,,有,流花湖公园人民医院军区总医院省妇幼医院儿童医院广医附属第三医院~、中国银行~、工商银行~、悦汇城~、若比邻~、南源肉菜市场~、西村肉菜市场,距离地铁5号线西场站350米（在建13号线也在此站交汇换乘）公交车：215~、134~、527~、521~、4~、80~、114~、253~、B3~、88~、276~、268~、261~、12~、196~、253~、305~、212~、46~、283~、17~、高峰283~、高峰B3~、高峰59~、夜21~、夜45~、夜3~、夜30~、夜16......贯通主城五区
此房格局好~、中层楼层~、南向采光好~、交通便利,136,23665,荔湾,2室1厅1卫,57.47㎡,平层,暂无数据,高楼层(共6层),暂无数据,51.92㎡,南,混合结构,简装,,,购物方便：有商店：陈岗市场：甜蜜水果店、有三甲医院：南部战区总医院；有多家银行：工商银行、建设银行~、农业银行~、中信银行浦发银行~、流花湖公园~、越秀公园~、是居住的理想地段,交通方便：多条公交线路经过有~、夜11路~、52路~、238路~、160路~、275路~、518路~、530路~、552路~、823路~、181路、260路、29路、52路、商务专线3路~、地铁：5号线和2号线广州火车站跟越秀公园站800米
和光晨樾~、少有南向三房~、阳台望市政公园~、通风采光好,410,44096,荔湾,3室2厅1卫,92.98㎡,平层,板楼,低楼层(共39层),暂无数据,暂无,南,钢混结构,精装,,有,家门口市政小公园。广钢中.央公园一期二期已开放。商圈：肯德基、麦当劳、星巴克、屈臣氏花湾壹号~、星河cocopark~、乐峰广场医院：荔湾区第三人民医院.荔湾区人民医院.广钢医院等等；银行：中国银o行、工商银行、农业银行、华夏银行、民生银行等等,
电梯南向单边位~、三面采光通风~、原三房改两房,160,23440,荔湾,2室1厅1卫,68.26㎡,平层,塔楼,高楼层(共8层),暂无数据,暂无,南北,钢混结构,简装,,有,楼下就是茶窖市场~、东漖北路最旺的地段~、烟火气足~、生活便利~、吃喝玩乐都方便。楼下就是茶窖公交车站~、出现方便~、离花地湾地铁站700米~、静中带旺。,
芳华苑 电梯小两房~、近石围塘地铁站,123,25440,荔湾,2室1厅1卫,48.35㎡,平层,塔楼,中楼层(共9层),暂无数据,暂无,东,钢混结构,简装,,有,芳华苑商场凯特利广场稻香村商场麦德隆欧倍德医院石围塘街社区卫生服务广州市芳村区中医院芳村区中医医院花地门诊部银行广州市工商银行桥东支,芳华苑商场凯特利广场稻香村商场麦德隆欧倍德医院石围塘街社区卫生服务广州市芳村区中医院芳村区中医医院花地门诊部银行广州市工商银行桥东支
电梯两房！满五非唯一!采光通风好！格局方正！,147,21708,荔湾,2室1厅1卫,67.72㎡,平层,塔楼,高楼层(共9层),暂无数据,60.15㎡,西南,钢混结构,其他,,有,,小区距【桥东小区站】约50米~、有52、55、57、206、309、277等十多路公交车途经~、而且公交路线可接驳地铁1号线芳村站、地铁5号线滘口站~、四通八达~、交通便利~、出现方便
满五唯一~、采光好~、交通方便~、生活配套齐全,80,17015,荔湾,1室1厅1卫,47.02㎡,平层,塔楼,高楼层(共8层),暂无数据,暂无,南,钢混结构,其他,,,商场：大利家~、沃尔玛商城~、荔胜广场。饮食：麦当劳~、肯德基~、其贤酒家~、荔宴酒家~、粥旺庄酒家。银行：农业银行~、工商银行~、建设银行~、邮政银行,地铁：距离鹤洞地铁站（b出口）400米~、公车站500米~、经过的路线有277、69、70、565、222、583、217、19、91、410、、285、485、769、811、275等~、出行十分便捷
荔湖明苑    南北对流精致二房大阳台   景观好开阔,230,41599,荔湾,2室1厅1卫,55.29㎡,平层,塔楼,高楼层(共13层),暂无数据,47.62㎡,南北,钢混结构,其他,,有,荔湖明苑物业100米范围有西郊泳场~、中山八枢纽商城~、中山八路华润X佳饮食影视城~、中国银行、建设银行、农业银行、广州银行、招商银行、工商银行~、荔枝湾、荔湾湖公园、上下九步行街、西关泮塘美食街~、市三宫影视城。,荔湖明苑住宅小区居住出行便利~、步行500米有中山八车站~、中山八5号地铁站~、黄沙大道车站~、陈家祠1号8号双地铁站~、泮塘路车站~、如意坊车站。
花园式新净小区 三阳台东南向 采光保养好 满五 随时看,372,44176,荔湾,2室1厅1卫,84.21㎡,平层,塔楼,高楼层(共31层),暂无数据,63.24㎡,东南,钢混结构,其他,,有,陈家祠双地铁600米~、多条公交线路~、城光绘、和业广场~、荔湾湖公园~、陈家祠广场,交通便利有地铁1号线和八号线陈家祠地铁站600米还有多个公交站可达城市各个区。
桥东小区 温馨三房 采光好 交通方便,150,17224,荔湾,3室1厅1卫,87.09㎡,平层,塔楼,高楼层(共9层),暂无数据,78㎡,东南,钢混结构,其他,,,小区位于桥东小区~、小区的配套~、交通~、生活设施~、还有公园和其它必须的配套~、一应俱全~、桥东小区是老小区~、不必担心配套问题,
保利海德公馆 低密度 有泳池 塑胶跑道 配套齐全,445,45651,荔湾,3室2厅2卫,97.48㎡,平层,塔楼,低楼层(共28层),暂无数据,76.74㎡,南北,钢混结构,精装,,有,,交通便利！地铁：鹤洞地铁站（广佛线）~、西塱地铁站（1号线）。公交车站鹤洞路西站：181~、19~、217~、222~、275~、285~、410~、565~、583~、69~、70~、71~、769~、770~、787~、811~、91等公交车路线。
荔新大厦电梯四房  精装拎包入住 地铁口  无占用,450,42214,荔湾,4室1厅1卫,106.6㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,东,钢混结构,精装,,有,280000平占地悦汇城大型广场~、老伙计茶楼~、周记饭店~、食为天~、小炳胜~、有荔湾区中医院~、建设银行~、农业银行~、肯德基~、麦当劳。若比邻,地铁5号线西村站B出口8号线延长线公交车路线：62路17路71路134路283路268路179路545路198路290路
明心路小户型 近江边 低层有精装,135,28061,荔湾,1室1厅1卫,48.11㎡,平层,塔楼,低楼层(共6层),暂无数据,暂无,南北,钢混结构,简装,,,配套是沃尔玛大型C市~、商场~、中市肉菜市场~、芳村驰名食街~、花力会健身俱乐部~、醉观公园芳村码头.,小区门口就是公交车站~、有多条线路经过~、如782.812.15.52.小区距离地铁一号线芳村站500米
电梯南向三房户型独立尽享悠闲田园生活,268,33280,荔湾,3室1厅1卫,80.53㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,南北,钢混结构,其他,,有,900米处有荔湾湖公园437米有华润、新大新、家乐福、中山八路童装城、农业银行~、工商银行、荔湾体育馆、彩虹戏院、荔湾区中医医院、荔湾区广医三院、荔湾区正骨医院、陈家祠地铁~、陈家祠广场、荔枝湾美食城、永庆坊旅游景点,距离彩虹桥站（8、11、13号线在建）约800米~、距离五号线中山八站（11号线在建）约900米
恒润阁 3室2厅 东南 西南,179,22094,荔湾,3室2厅1卫,81.02㎡,平层,塔楼,中楼层(共9层),暂无数据,暂无,东南西南,钢混结构,其他,,,,
周门北路 小户型 加装电梯已筹备,80,30246,荔湾,1室1厅1卫,26.45㎡,平层,塔楼,高楼层(共9层),暂无数据,20.67㎡,西北,钢混结构,其他,,,地理位置优越荔湾医院、华润家市、楼下广州银行、四大行~、服务设施齐全~、配套设施齐全~、300米有华润~、荔枝湾~、荔湾湖公园~、玛利亚幼儿园~、西关儿童幼儿园~、荔湾区少年宫~、附属三院~、泮塘美食街~、泮溪园林,步行600米到彩虹桥地铁口~、楼下步行30米就到公交车站~、交通方便出门多路公交车方便出行~、为你上下班节约不少时间双地铁~、荔湾路彩虹桥中山八
丰年华庭 芳村地*站 原装电梯大两房 装修新净,215,29043,荔湾,2室1厅1卫,74.03㎡,平层,塔楼,低楼层(共15层),暂无数据,58.64㎡,东南,钢混结构,精装,,有,500米处有公园小区楼下有商铺茶楼生活方便配套成熟的菜市场900米,1号线方村地铁站600米~、200米处有醉观公园小区楼下有商铺茶楼生活方便配套成熟的菜市场900米
间隔方正空间利用的很好无任何面积浪费低密度,448,42880,荔湾,3室2厅2卫,104.48㎡,平层,塔楼,低楼层(共25层),暂无数据,暂无,北,钢混结构,简装,,有,：1号线西塱地铁站；广佛地铁线~、鹤洞地铁站、10号线；广钢新城站~、11号线；鹤洞东站~、以及多条公交路线~、公交车站787路~、如约巴士~、87路等等,：1号线西塱地铁站；广佛地铁线~、鹤洞地铁站、10号线；广钢新城站~、11号线；鹤洞东站~、以及多条公交路线~、公交车站787路~、如约巴士~、87路等等
2梯4户~、低密度~、南向采光~、中楼层~、视野景观佳通风好,490,40007,荔湾,3室1厅2卫,122.48㎡,平层,塔楼,中楼层(共20层),暂无数据,99.66㎡,南,钢混结构,精装,,有,,距离五号线滘口总站400多米；距离芳村大道西公交车站200米~、有19、75、55、81、193、206、236、309、312等二十多条线路经过~、直达广州多个区域。
富力广场 锦上居 满五唯一 视野开阔 两房,310,46242,荔湾,2室1厅1卫,67.04㎡,平层,塔楼,高楼层(共26层),暂无数据,55.13㎡,北,钢混结构,其他,,有,荔湾湖公园~、荔枝湾景区~、华润~、各大银行都有~、竹溪酒家~、泮溪酒家~、荔湾医院~、广医三院~、陈家祠~、彩虹桥~、流花湖公园~、青年公园,600米中山八地铁站~、800米陈家祠地铁站~、石路基站~、荔湾路口站~、中山八路站~、华贵路站~、泮塘路站~、南岸路站
此房商品满五不唯一  框架结构  电梯楼 保养好,268,37752,荔湾,2室1厅1卫,70.99㎡,平层,塔楼,高楼层(共7层),暂无数据,暂无,南,钢混结构,其他,,有,双地铁5号线8号线~、生活交通方便悦汇城大型商场地铁西村站多个娱乐设施及公园等,地铁：5号线8号线广州火车站省客运站公交：231175179198B225228238268等等
花语水岸 坦尾5/6号双线地铁站 高层安静望花园 可望江,320,41957,荔湾,2室2厅1卫,76.27㎡,平层,塔楼,高楼层(共26层),暂无数据,61.95㎡,北,钢混结构,精装,,有,,地铁站：5/6号线坦尾地铁站步行320米。公交站：61路、广281路、广286路、广81路、广969路、夜27路、广123路、广132路等多路公交
康有为 中层一房 交通便利 产权清晰,115,24578,荔湾,1室1厅1卫,46.79㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,北东北,钢混结构,简装,,,公园：醉观公园300米银行：工商银行~、建设银行等：沃尔玛~、大小型便利店,公交：楼下大策公交站~、207~、277~、193~、74~、785~、552等多路公交地铁：1号线芳村地铁站800米左右出行方便
陈家祠地铁 次新2011年 电梯小区两房,205,43405,荔湾,2室1厅1卫,47.23㎡,平层,板塔结合,低楼层(共27层),暂无数据,暂无,北,钢混结构,其他,,有,,交通便利~、有地铁1号线长寿路地铁站~、8号线华林寺地铁站~、楼下有公交车站~、楼盘停车场；新光城市广场~、家乐福步行500米可到和业广场~、荔湾湖公园~、陈家祠绿化广场~、上下九步行街~、华林玉器珠宝
金宇花园~、大型社区~、加装电梯~、走半层~、低总入手,67,22705,荔湾,1室1厅1卫,29.51㎡,平层,塔楼,中楼层(共9层),暂无数据,暂无,南北,钢混结构,简装,,有,小区配套设施齐全~、有农商银行~、有壹壹酒店~、东塱菜肉市场~、小吃夜市街~、广钢医院,交通出行方便~、小区北门出来就有公交车站~、夜52~、64.277.121.780.769.417等路线~、还有环城高速
恒宝华庭  小两房  长寿路地铁  空中花园,345,52704,荔湾,2室2厅1卫,65.46㎡,平层,塔楼,中楼层(共31层),暂无数据,54.1㎡,东,钢混结构,其他,,有,恒宝广场步行9米~、盛悦广场步行421米~、荔湾湖公园步行883米~、荔湾区中医院~、广州医科大学附属第三医院~、法治园和荔湾湖公园等。,地铁1号线长寿路地铁站~、恒宝广场公交总站、泮塘总站约483米。商场：楼下就是恒宝广场~、盛悦广场419米~、西城都荟1公里。景点：上下九763米~、基督教十甫堂535米~、陈家祠广场913米
观鹤一房南北对流~、单边户型~、楼层采光视野好,105,22523,荔湾,1室1厅1卫,46.62㎡,平层,塔楼,中楼层(共9层),暂无数据,42.12㎡,南北,钢混结构,其他,,,,观鹤小区的公交车站途经的公交线路有：19、69、70、91、222、565、583、811、217、275、285、277、769、181等地铁站是广佛线鹤洞站B出口
高层 实用三房 看流花湖景 南北对流,530,54690,荔湾,3室1厅1卫,96.91㎡,平层,塔楼,高楼层(共30层),暂无数据,暂无,北,钢混结构,其他,,有,购物方便：有商店：陈岗市场、胜佳市：甜蜜水果店、有三甲医院：陆军总医院；有多家银行：工商银行、建设银行~、农业银行~、中信银行浦发银行~、流花湖公园距离300米【根据度地图显示为准】~、越秀公园~、是居住的理想地段。,流花湖公园距离100米路程~、越秀公园1公里路程~、地铁2号线~、5号线路程1公里路程~、公交车小区门口~、29路~、181路~、823路~、275路~、518路~、银行有~、中国银行~、农业银行~、工商银行~、建设银行~、华夏银行~、浦发银行~、500米路程
双地铁物业 户型好 过五物业 东向望花园,90,22832,荔湾,1室1厅1卫,39.42㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,东南,钢混结构,其他,,,位于繁华路段花地大道~、芳村客运站、靓家居、大笨象茶叶市场等配套。旁边有个大型的荔塱综合菜市场~、品种很的齐全,地铁一号线坑口站~、广佛地铁西朗站~、公交路线有69路277路222路565路71路181路70路769路91路等
南向精装三房 通透采光好 业主诚意出,465,50054,荔湾,3室2厅2卫,92.9㎡,平层,塔楼,低楼层(共37层),暂无数据,71.42㎡,南,钢混结构,精装,,有,,
彩虹桥地铁站300米 大院管理 步梯中层,139,30463,荔湾,2室1厅1卫,45.63㎡,平层,塔楼,高楼层(共6层),暂无数据,暂无,南,混合结构,简装,,,泮溪酒家西关世家周记茶餐厅动感小西关新大新公司新光城市广场东方街菜市场菜市场距离300米就是流花湖公园三甲医院有广医三院距离房子也就是400米左右,彩虹桥地铁300米~、荔湾路体育馆~、距离陈家祠地铁站700米左右。中山八路公交车站有多路公交直达广州各区~、交通便利
框架结构电梯xiehe两房~、地铁口100米,217,31889,荔湾,2室1厅1卫,68.05㎡,平层,塔楼,中楼层(共7层),暂无数据,暂无,南,钢混结构,简装,,有,双地铁5号线8号线~、生活交通方便悦汇城大型商场地铁西村站多个娱乐设施及公园等,
南源花园 封闭式小区管理 原装电梯 三房一厅,330,36683,荔湾,3室1厅1卫,89.96㎡,平层,塔楼,低楼层(共25层),暂无数据,73.38㎡,西北,钢混结构,精装,,有,,该房位于南源花园小区内~、是该小区的第三期房源~、到5号线和13号线西场双哋鉄口仅需400M~、有多路公交车通往市区各地
中层 东南向安静 户型方正实用 精装修 房大厅大,308,35773,荔湾,3室1厅1卫,86.1㎡,平层,塔楼,中楼层(共18层),暂无数据,72.37㎡,东南,钢混结构,精装,,有,,小区门口就有966、996公交车总站~、966、996路分别接驳地铁1号线坑口地铁站与广佛线菊树地铁站~、出行方便。
南北通透两房~、采光通风好~、满五唯一免个税,110,22227,荔湾,2室1厅1卫,49.49㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,北南,钢混结构,其他,,,中山八路石路基50米范围有荔湾少年宫~、体育馆~、动感小西关娱乐饮食影视城~、中国银行、建设银行、农业银行、广州银行、招商银行、工商银行~、荔枝湾、荔湾湖公园、上下九步行街、西关泮塘美食街~、市三宫影视城。,步行400米陈家祠地铁站1/8双地铁交汇~、小区楼下就是公交车站~、交通便利生活方便
长寿路地铁 大三房 配套完善 户型方正 看房方便,250,26422,荔湾,3室1厅1卫,94.62㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,东,钢混结构,其他,,,房源配套成熟地段环境优越交通出行便捷相近地铁公交通勤相当方便,
西南朝向~、一线看江三房 户型方正  装修保养好,560,55468,荔湾,3室1厅1卫,100.96㎡,平层,塔楼,中楼层(共32层),暂无数据,暂无,西南,钢混结构,精装,,有,广州第二大占地【悦汇城】大型广场~、老伙计茶楼~、周记饭店~、食为天~、小炳胜~、有荔湾区中医院~、建设银行~、农业银行~、沃尔玛~、肯德基~、麦当劳。若比邻~、公园有增埗公园,五号线西村站800米~、八号线鹅掌坦站500米~、公交：17、62、71、80、134、175、176、179、196、212、215、238、241、524、543
龙津世家 16年楼龄 视野无遮挡 老城区 扬韬广场楼上,438,57188,荔湾,3室1厅1卫,76.59㎡,平层,塔楼,高楼层(共32层),暂无数据,暂无,北西,钢混结构,其他,,有,生活：新大新~、新光~、华润~、家乐福~、龙jin肉菜市场；银行：中国建设银行、中国工商银行、中国农业银行；医院：广州医学院荔湾医院~、广州市一医院~、广东省中医院。,双地铁1号线8号线~、200多米步行。小区外边配套齐全~、医院~、商潮~、菜市场等都在500米内
芳和花园 实用三房 望花园 装修保养好 近地铁,222,33811,荔湾,3室2厅1卫,65.66㎡,平层,塔楼,低楼层(共27层),暂无数据,49.68㎡,南北,钢混结构,其他,,有,生活配套成熟、肉菜市场、儿童乐园、医院、银行、宾馆酒楼~、衣食住行。交通方便户型方正装修新净小区绿化环境好~、地铁：一号线站；商场：兴安、沃尔玛、；公园：东漖公园,
中山八路大院管理中层大两房带双阳台单位视野开阔,192,29963,荔湾,2室1厅1卫,64.08㎡,平层,塔楼,中楼层(共10层),暂无数据,暂无,东南,钢混结构,精装,,,物业带有荔湾湖公园~、荔枝湾涌~、永庆坊~、动感小西关~、戏院电影城~、绿化广场,
荔雅阁 2室1厅 南,105,25736,荔湾,2室1厅1卫,40.8㎡,平层,塔楼,中楼层(共8层),暂无数据,35.11㎡,南,钢混结构,其他,,,,
