满五年~、不唯一~、户型方正实用~、视野宽阔~、采光充足。,90,20203,白云,1室1厅1卫,44.55㎡,平层,塔楼,高楼层(共9层),暂无数据,39.8㎡,东,钢混结构,其他,,,,距离沙涌北公交站直线距离300米~、途径63.271.684.108等多路公交地铁：距离三元里地铁C2出口4个公交站
标题,总价,单价,区域,房屋户型,建筑面积,户型结构,建筑类型,所在楼层,楼层高度,套内面积,房屋朝向,建筑结构,装修情况,户梯比例,配备电梯,周边配套,交通出行
高层看江 通风采光好 户型方正 独门独户,275,28325,白云,3室2厅2卫,97.09㎡,平层,塔楼,高楼层(共33层),暂无数据,暂无,东北,钢混结构,精装,,有,华润广场、金永喜购物广场~、佳和购物广场等~、工行、农行、商行等。城西市场~、沙凤市场~、江悦湾肉菜市场~、瀚月广场金沙洲大型便民市场设施齐,在建地铁12号线里横路站就在小区旁边~、小区楼下有便民车与658公交车~、都可到浔峰岗地铁站~、江边也有公交车站~、彩滨北路站~、290、55、12、276、283、885、429、830、42等16条公交线路；地铁6号线始发站浔峰岗站。
南向中楼层~、安静舒适~、温馨方正小两房~、准电梯房,205,32309,白云,2室1厅1卫,63.45㎡,平层,塔楼,中楼层(共9层),暂无数据,暂无,南,钢混结构,其他,,,购物：金铂天地~、雄洲城~、新天地~、嘉裕太阳城等大型商场~、医疗：南方医院~、一五七医院~、白云山医院等三甲医院~、同和职工医院银行：工商银行~、农业银行~、农商银行~、中国银行~、建设银行~、光大银行~、招商。楼下有便利店~、钱大妈~、平常生活所需小区就能满足,近地铁~、3号线同和站~、300米到c出口~、小区外100米有公交站点~、乘车方便。公交：B6路、B6路快线、56路、179路、504路、502路、804路、136路、219路、862路、862B路、832路、126路、836路、83路、701路、560路。
12号地铁 东南向 一线江景 采光好,188,23381,白云,2室2厅1卫,80.41㎡,平层,塔楼,高楼层(共26层),暂无数据,63.66㎡,东南,钢混结构,精装,,有,白云儿童公园~、瀚悦广场~、涛乐街公交总站~、12号线地铁里恒路站,12号地铁站里横路~、涛乐街公交车总站~、公交车潯峰栋路站~、公交车彩滨北路站。
万科蓝山 3房二厅2卫 满五唯一 园林设计 配套齐全,400,27252,白云,3室1厅2卫,146.78㎡,平层,塔楼,低楼层(共18层),暂无数据,122.59㎡,南,钢混结构,其他,,有,,B6公交总站可直达天河~、504~、862B直达火车站~、~、747A~、747B~、直达同和地铁~、792A直达永泰
正升雅境 大三房 厅出阳台 户型实用 保养好,368,33458,白云,3室2厅1卫,109.99㎡,平层,塔楼,低楼层(共19层),暂无数据,87.21㎡,东,钢混结构,精装,,有,小区新适宜刚需3代同堂新婚改善型人群小区100米有小吃街早市夜市三元LI大道棠下有两个商场南美休闲娱乐场所吃喝玩一应俱全四大银行都只有,邻近三元里大道及远景路~、距机场路800米~、距环城高速1000米~、距广园路1500米。邻近棠下站和三元里大道中站~、共40条公交线路通达全城~、三元里地铁站1800米。
云逸东南向四房、户型方正、好楼层,900,64341,白云,4室2厅2卫,139.88㎡,平层,塔楼,高楼层(共28层),暂无数据,115.08㎡,东南,钢混结构,其他,,有,楼下有云门大商场~、711便利店、OK便利店~、美容院、美发店、面包店；会所(羽毛球场、乒乓球场、大型足交通球场地、篮球场地)等生活配套设施完善！,地铁：2号线~、3号线和14号线（嘉禾望岗站）公交：667路；126路;701路;804路;832路;833路;862路;864路;高峰快线48路;高峰快线51路;夜90路;夜95路
汇侨新城南区 电梯2房户型方正望花园,150,22856,白云,2室1厅1卫,65.63㎡,平层,塔楼,高楼层(共17层),暂无数据,暂无,南,钢混结构,其他,,有,：有大型商场、公交、地铁、大埔菜市场；医院：汇侨壹心诊所、新市医院、白云区人民医院；公园：白云儿童公园；商业：、家乐福、沃尔玛、永辉~、广场~、苏宁国美等,汇侨新城社区就有一个公交车总站~、有三条线路~、244A、278、538~、这几条线路可以去到火车站~、天河~、海珠。还有地铁接驳线980号线路~、新市墟更是有63条线路之多~、可以去广州更多地方。目前有两条地铁线在建~、新市墟站预计24年通车
视野开阔~、户型南北对流通风~、楼龄新~、全屋红木家具,768,62051,白云,4室2厅2卫,123.77㎡,平层,塔楼,中楼层(共28层),暂无数据,暂无,南北,钢混结构,其他,,有,该小区配套成熟~、生活方便。小区楼下是大型购物商chao-云门PARK~、商chao内有河马鲜生、东海酒家、美亚影院、各类品牌餐饮店和服装店。东门出来是双城荟步行街~、这条街有四大银行、正大chao市、华润*家chao市和星巴克等大型配套,一公里内有嘉禾地铁站广州大道北地铁站公交车总站线路包括804路、886路、805路、799路、920路、922路、924路、926路、509路、66路、803路等数十几条公交路线地铁线路：14号地铁线~、2号地铁线~、3号地铁
采光充足~、配套设施齐全~、交通便利~、楼下有地铁站,220,31774,白云,2室1厅1卫,69.24㎡,平层,塔楼,中楼层(共13层),暂无数据,暂无,南,钢混结构,其他,,有,购物广场4个~、太阳城广场~、佳润广场~、梅花园广场~、沃尔玛~、永旺~、均步行700-1000米可达。肉菜市场约3个~、京溪壹社农贸综合市场~、云景肉菜市场~、旁边有京溪南方医院和南方医科大学~、157军区医院~、白云山风景区,地铁口上盖~、下楼即为3号线北延线京溪南方医院地铁D出口及公交车站：157公交车站线路有560路~、B6快线~、B6路~、16路~、56路~、179路~、219路
楼龄新 配套齐全 高楼层 通风光线好,123,30529,白云,1室1厅1卫,40.29㎡,平层,塔楼,中楼层(共24层),暂无数据,29.82㎡,南,钢混结构,精装,,有,地铁14号线二期700米、公交车等可以经过小区；医院有市第八人民医院嘉禾院区在小区旁~、是有保障的医院；星汇广场、YH城、集贤购物广场、马务尚佳广场都在旁；鹤灵公园、鹤鸣公园就在小区旁~、适合休闲活..,交通便利~、距离江夏地铁1709米~、目前地铁14号线二期地铁站就在楼下年底通车200米左右离小区285米有省解毒基地站251、259、274、425、510等线路公交车都可以到
时代玫瑰园三期大三房  位置安静户型好 看房方便,420,33202,白云,3室2厅2卫,126.5㎡,平层,塔楼,低楼层(共18层),暂无数据,105.38㎡,北,钢混结构,精装,,有,1~、小区出门口200米内就有华润市、西亚兴安市、大森林药店、生鲜市、养发馆、农业银行。中国银行。建设银行、工商银行、7-11、全家便利店~、生活方便。2.广州设计之都红点广场（肩比高德置地广场）、两公里内有安华汇、金铂广场等购物广场~、南方医白云分院,小区位于2号线黄边地铁站上盖~、下楼即地铁~、还有多条公交站：38、58、798、831、794路等等~、1公里内6个高速口后期还有14号线二期地铁经过~、交通便捷。
绿地云央 99方 标准三房 业主诚心卖 自住 保养好,251,25295,白云,3室2厅2卫,99.23㎡,平层,暂无数据,低楼层(共22层),暂无数据,76.57㎡,南,钢混结构,精装,,,楼盘3公里内有悦和方购物广场等2个购物广场及45个公园~、还有太和医院等医疗机构~、且小区约900平方米的风情街~、可满足业主休闲、购物、就医等需求.,3公里内有夏良、龙归、太和3个地铁站~、距离最近的夏良站较近~、1公里内有11个公交站~、公共交通便捷~、且近高速路~、驾车可快速到达白云机场、天河及海珠等CBD区域.
金碧新城  三期厅出阳台 大二房  中高层望园林 过五年,205,27480,白云,2室2厅1卫,74.6㎡,平层,塔楼,中楼层(共32层),暂无数据,暂无,东北,钢混结构,精装,,有,有月亮弯游泳池、罗马音乐喷泉、环型跑道、蓝球场、网球场、会所、市场..银行、好又多、啃德基、国美电器、便利店、麦当劳、美宜家、7-11便利店、石井广场、医疗门诊、等房主自荐(业主对房源的描述),金碧新城总站:7~、63~、62路~、小坪南站:259~、539~、543途经石井站线路:126~、254~、280~、291B~、425~、519~、524~、556~、563~、830~、831~、841~、乡村巴士1~、乡村巴士2~、夜26夜80~、地铁8号线小坪站
岭南花园 精装修 拎包入住 厅出阳台采光好,190,25542,白云,2室1厅1卫,74.39㎡,平层,板楼,高楼层(共6层),暂无数据,暂无,南,钢混结构,精装,,,,广州地铁8号线~、同德地铁口离小区500米。8min可达白云新火车站10min可达西村~、换乘5号线15min可达广州火车站~、30min可达珠江新城。13min可达陈家祠~、换乘1号线20min可达沙园~、换乘广佛线26min可达昌岗~、换成2号线到广州南站。
一品湖山 南北对流 二梯二户 5房户型,508,34570,白云,4室2厅2卫,146.95㎡,平层,塔楼,中楼层(共14层),暂无数据,暂无,南北,钢混结构,其他,,有,商场：好又多、广bai、摩登邮局：梅花园邮局、同和邮局、南方医院邮政营业厅银行：工商银行、建设银行、农业银行、中国银行、农商银行、广发银行医院：一五七医院、南方医院、三九脑科医院、同和医院、白云山医院、友好医院,公交：B6路862B路504路502路560路791路等地铁站：三号北延线同和站（距离小区1.8公里
乐嘉路 电梯 一房一厅 可收租 随时签约,70,25437,白云,1室1厅1卫,27.52㎡,平层,塔楼,低楼层(共9层),暂无数据,暂无,东,钢混结构,其他,,有,：区位于机场路以西~、此地段经过了二十多年的发展已经feichang成熟了~、小区离最近的菜市场350米~、zhoubian多家钱大妈以及水果店~、逛街可去到达广场（1.5公里）五号停机坪（2公里）凯德广场（2.5公里）等等~、远景路还有吃货韩国街（烤肉,飞翔公园地铁站离小区大概650米~、后期有地铁14号线二期乐嘉路站~、规划站点离小区250米~、这条线是越秀火车站到嘉禾望岗的。楼下有公交站（32、58、58A、63、741、夜105）去到越秀天河海珠都比较方便
景泰新村 2楼方正2房 交通便利 拎包入住,140,24480,白云,2室1厅1卫,57.19㎡,平层,塔楼,低楼层(共8层),暂无数据,暂无,南,钢混结构,其他,,,市场：景泰白云市场~、云苑市场~、柯子岭肉菜市场。医院：中医学院附属医院~、十二人民医院~、景泰社区医院。商场：沃尔玛~、五号停机坪。,地铁：2号线飞翔公园站~、11号线广园新村站在建~、预计2022年年底开通公交：186、284、479、921、124、182总站还有175、179、181、189、199、210、241、24、257、265、273、278、298、32、38、46、540、60、63、810、34等公交
云裳丽影  南向   中间楼层看花园,450,39409,白云,3室2厅2卫,114.19㎡,平层,塔楼,中楼层(共30层),暂无数据,暂无,东南南,钢混结构,其他,,有,有白云山~、南方医院157医院三九脑科医院太阳城广场佳润广场永旺华润金铂广场。,地铁三号线北沿线同和地铁口400米~、公交车B6502791等多路公交路线~、距离华南快速三期同和高速出口两公里
金碧雅苑 3室2厅 南,400,40925,白云,3室2厅2卫,97.74㎡,平层,塔楼,高楼层(共18层),暂无数据,暂无,南,钢混结构,其他,,有,,
云山诗意 两房两卫 装修仅一年 带60方平台 拎包住,350,44405,白云,2室2厅2卫,78.82㎡,平层,塔楼,低楼层(共18层),暂无数据,64.38㎡,东北,钢混结构,精装,,有,建设银行工商银行蕃薯藤钱大妈~、中山博济医院方南方医院方圆二幼美宜佳便利店美容院三家健身房小区自带泳池等生活配套设施设计之都,距离地铁站2号线黄边地铁站500米距离地铁3号线白云大道北站950米~、公交车站~、38路~、743路~、798路等等多路公交车~、通往市区方便
云山雅苑 实用三房 户型方正实用 看泳池,498,52158,白云,3室1厅2卫,95.48㎡,平层,塔楼,低楼层(共18层),暂无数据,暂无,东北,钢混结构,精装,,有,云山雅苑花园式小区里面总共有9栋楼约736户小区人车分流有游泳池等一楼都是大堂6米高安静不吵小区是恒翔房地产有限公司小区正门处于金钟横路去市场去医院便利后门直通云城东路白云金街飞翔公园都是比较方便的,127路~、223路~、245路~、265路~、36路~、38路~、841路~、190路~、36路~、544路~、864路~、夜32路~、大学城1线~、805路~、712路~、547路~、66路~、76路~、93路~、66路~、713路。地铁2号线飞翔公园站等多条交通路线
交委小区 南向两房 户型方正 大院管理 门口就是地铁口,160,31250,白云,2室1厅1卫,51.2㎡,平层,塔楼,低楼层(共9层),暂无数据,暂无,西北南东,钢混结构,其他,,,购物越秀广源汇广场白云大型广场五号停机坪凯德云尚公园雕塑公园三泰公园还可以到白云山风景区医院中医学院第附属医院,地铁：2号线飞翔公园站公交：186、284、479、921、124、182总站还有175、179、181、189、199、210、241、24、257、265、273、278、298、32、38、46、540、60、63、810、34等公交客运站：广园客运站
封闭小区~、近地铁~、低首付~、楼下省级J育资源,68,17732,白云,1室1厅1卫,38.35㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,东,钢混结构,其他,,,商城有新都汇购物广场、骐利广场、凯升广场、骏荣广场等~、距离同德围商圈1公里的悦汇城~、悦汇城于今年9月开业~、属于广州西部前一、广州第二大的单体购物商城。公园有同德公园、聚龙公园、石井河绿道等可供居民日常健身休闲的地方。,地铁8号线。公交：752、夜80、134、175、176、17、17短线、196、212、215、215长线、228、238、241、524、527、539、543、545、62、832、975、高峰快线26、高峰快线27、高峰快线29、高峰快线2、高峰快线3、高峰快线51、夜15、夜21、夜2、夜76
此房满五唯一~、房大客厅大~、方正实用~、交通便利,145,22087,白云,2室1厅1卫,65.65㎡,平层,塔楼,低楼层(共9层),暂无数据,暂无,东南,钢混结构,简装,,有,小区外交通便利~、出门即上内环~、公交线广布市区内外、商行、饭店密布~、生活亦相当便利!小区2个公交站就是罗冲围客运站~、可达省内外众多城市~、也有多个公交总站~、几十条线可达市内各区~、出行十分便利~、旁设有幼儿园~、有各类士多店、酒家。,小区门口有两个公交站~、公交路线有：12路、42路、46路、283路、290路、291路、885路、839路、478路、B3路、563路、527路、521路、114路等~、距离罗冲围客运站600米~、交通方便。
南湖半岛花园139平方方正三房2008年新一期山居笔记,350,25193,白云,3室2厅2卫,138.93㎡,平层,塔楼,低楼层(共18层),暂无数据,暂无,东西南,钢混结构,其他,,有,交通方便小区门口就是广州大道北本小区门口有专用楼吧出小区左手边就是502504747B6862b792公交站一站到华南快速干线三站到同和地铁,小区门口也有公交车站~、途径车辆有B6、232、296、502、504、B6快、560、862B等。自驾：门口可接驳华南快速干线同和站~、交通便利！小区内有便利店~、宵夜店~、快餐店~、能满足基本生活需求
云山诗意 东南向看白云山~、视野开阔~、采光充足,288,39928,白云,2室1厅1卫,72.13㎡,平层,塔楼,高楼层(共18层),暂无数据,暂无,东南,钢混结构,其他,,有,小区楼下有银行~、钱大妈~、番薯藤~、菜鸟驿站~、紧靠设计之都一期~、工作生活游玩便利。建设银行工商银行在小区一层解放庄肉菜市场云山新天地卜蜂莲花永旺商场医院市八医院中山博济医院便利店美宜佳美容院有三家健身房,距离地铁2号线黄边站300米~、东门距离地铁3号线白云大道北站1000米~、还有多路公交车743~、38~、798等途经小区大门直到市区各地~、交通便利。距离地铁2号线黄边站300米~、东门距离地铁3号线白云大道北站1000米~、还有多路公交车743~、38~、798等途经小区大门直到市。
交委小区 低楼层3房 户型方 地铁沿线,150,29292,白云,3室1厅1卫,51.21㎡,平层,塔楼,低楼层(共9层),暂无数据,暂无,南,钢混结构,其他,,,购物：越秀广源汇广场~、白云大型广场~、五号停机坪、凯德云尚公园：雕塑公园、三泰公园、还可以到白云山风景区医院：中医学院第附属医院、广东省第二中医院白云院区、等社区医院。,广园新村站479186284182~、12434~、540810~、189273265~、278~、63241等车站距离小区100米是地铁12号线地铁景云路站建设中
积德花园 2室1厅 西南,177,23842,白云,2室1厅1卫,74.24㎡,平层,塔楼,低楼层(共27层),暂无数据,62.74㎡,西南,钢混结构,其他,,有,,
机场路 又一居花园 电梯两房 带40方私家平台 近地铁,239,31631,白云,2室2厅1卫,75.56㎡,平层,塔楼,低楼层(共15层),暂无数据,暂无,南北,钢混结构,精装,,有,,小区距离2号线飞翔公园站直线距离716米~、小区距离50米有公车~、远景路站~、心谊路站~、乐嘉路站~、出行都是比较方便的。
白沙小区 精装一房一厅 户型方正 实用率高,88,21360,白云,1室1厅1卫,41.2㎡,平层,塔楼,低楼层(共9层),暂无数据,暂无,东,钢混结构,简装,,,该小区位于岗贝社区~、白色的马赛克外墙~、总层高9层~、保安值班管理~、小区管理严密~、闹中取静~、小区配套齐全~、住家舒适便利,
标题,总价,单价,区域,房屋户型,建筑面积,户型结构,建筑类型,所在楼层,楼层高度,套内面积,房屋朝向,建筑结构,装修情况,户梯比例,配备电梯,周边配套,交通出行
白云区金沙洲 中海金沙馨园二期 三房两卫 看花园 地铁,280,29028,白云,3室2厅2卫,96.46㎡,平层,塔楼,高楼层(共18层),暂无数据,81㎡,东北,钢混结构,精装,,有,广州中医药大学金沙洲医院~、黄岐医院。商场：金沙洲*达广场、国昌新城市广场、卜蜂莲花、金铂广场。银行：农业银行、工商银行、中国银行、招商银行、建设银行、金沙洲邮局。市场：富力金街菜市场、沙凤小区肉市场、三俊肉菜市场,本房子交通便利~、6号线沙贝地铁站和横沙地铁站都有公交车接驳。公交：42路、885路、789路环线、429路、478路
半岛花园经典户型  中高楼层   视野开阔,410,27416,白云,4室2厅2卫,149.55㎡,平层,塔楼,中楼层(共17层),暂无数据,暂无,西北,钢混结构,其他,,有,,
飞鹅西路小区 低层 南北向 大1房,110,23555,白云,1室1厅1卫,46.7㎡,平层,塔楼,低楼层(共8层),暂无数据,42.19㎡,南北,钢混结构,简装,,,广州雕塑公园、越秀公园~、皮具城、商场、酒店、中医学院、餐厅、银行、各种各样的小食。生活方便。,交通出行：500米生活圈内有4条地铁线~、12号线中医学院~、2号线站~、5号线火车站~、11号线站还有20多条公交线路通往各区出行便利
近地铁~、广州白云站旁电梯三房视野光线好~、,192,19628,白云,3室1厅1卫,97.82㎡,平层,塔楼,高楼层(共15层),暂无数据,暂无,西南,钢混结构,简装,,有,商场购物易初莲花购物创诚购物商场快快乐购物广博购物银行工商银行农业银行农村信用合作社邮政储蓄娱乐汇成休闲娱乐小区内部配套篮球场停车场会所餐厅羽毛球场,公交车：德康路站、横滘小区站、槎头(西槎路)站、聚龙工业区站、同德围站、石槎路口站、石槎路站~、途经线路包括175路、176路、17路、215路、228路、238路、259路、241、424路、524路、539路、545路、614路、62路、63路、7路、832路、高峰快线2~、地铁8
金满家园 南向电梯大两房 电梯平层 不用走半层,160,23708,白云,2室1厅1卫,67.49㎡,平层,塔楼,中楼层(共9层),暂无数据,暂无,东南,钢混结构,其他,,有,公园小区大门距离江边儿童公园约1300米商场小区正门距离金沙洲永旺梦乐城约1700米地铁小区正门距离6号线地铁横沙站约300米,
精装温馨2房 电梯筹备中 100米地铁口 下楼就公交车站,98,27065,白云,2室1厅1卫,36.21㎡,平层,塔楼,中楼层(共8层),暂无数据,暂无,东南,钢混结构,精装,,,骐利广场世纪华联新都汇购物广场医院福懋动物医院白云区中国银行建设银行工商银行农业银行农商银行邮政储蓄,近8号线上步站小区门口有上步公交站~、可搭乘：134路175路176路179路17路196路212路228路238路241路524路527路539路543路545路62路752路83路等公交
康盈雅园 平层电梯  南向 厅出阳台 采光充足,168,24912,白云,2室1厅1卫,67.44㎡,平层,塔楼,中楼层(共9层),暂无数据,58.9㎡,南,钢混结构,其他,,有,,
香柏120%使用三房~、中层景观好~、南北对流。业主诚心出,466,57853,白云,3室2厅1卫,80.55㎡,平层,塔楼,低楼层(共30层),暂无数据,暂无,北,钢混结构,其他,,有,,香柏广场位于3号线京溪南方医院地铁站150米~、地铁在家门口出行便捷。小区楼下50米是一五七医院公交站。两公立内三个地铁口：京溪南方医院~、同和~、梅花园地铁口。三公里内三个高速口；同和华快高速~、广从沈海高速口~、同和沙太高速口。
高尔花园夫西区精装电梯小三房 诚意出 随时可以看,162,21238,白云,2室1厅1卫,76.28㎡,平层,塔楼,低楼层(共11层),暂无数据,暂无,东南,钢混结构,简装,,有,800米有卜峰莲花商场、购物广场。出小区西门1300米~、麦当劳~、星巴克~、72街~、周黑鸭~、供电局~、苏宁易购~、麦德龙商场,36路;126路;127路;244路;265路;268路;539路;563路;660路;706路;742路;759路;803路;810路;832路;841路等~、地铁二号线~、正在施工的14号线二期马务站
方正户型两房~、采光好~、看房方便,218,32645,白云,2室1厅1卫,66.78㎡,平层,塔楼,高楼层(共18层),暂无数据,暂无,西北,钢混结构,简装,,有,小区有商场~、邮局~、银行(建设银行、工商银行、邮政储蓄等)出小区500米范围内：妇产玛莱医院~、有松洲菜肉市场~、购物买菜方便;有肯德基、美容院等,正在修13号线罗冲围地铁站~、就在这小区旁地铁:6号线沙贝站、5号线西场站~、13号线二期已在建距离100米（2022开通）公交:114、198、290、291B、42、46、521、527、B3A、B3B、B3、563、广478、夜19路、夜30路、夜3路、夜45路、夜76路
东向安静4房~、采光充足~、通风好~、近地铁~、配套齐全,620,50154,白云,4室2厅2卫,123.62㎡,平层,塔楼,中楼层(共28层),暂无数据,暂无,南东北,钢混结构,其他,,有,楼下有云门大商场~、711便利店、OK便利店~、美容院、美发店、面包店；会所(羽毛球场、乒乓球场、大型足交通球场地、篮球场地)等生活配套设施完善！,地铁：2号线~、3号线和14号线（嘉禾望岗站）公交：667路；126路;701路;804路;832路;833路;862路;864路;高峰快线48路;高峰快线51路;夜90路;夜95路
越秀星汇云城 4室2厅 东南,520,50881,白云,4室2厅2卫,102.2㎡,平层,塔楼,中楼层(共32层),暂无数据,83.3㎡,东南,钢混结构,精装,,有,,
岭南新世界一楼南向的院子精装修直接拎包入住户型好,480,48000,白云,3室2厅1卫,100㎡,平层,塔楼,低楼层(共16层),暂无数据,暂无,北,钢混结构,其他,,有,有步行街市、711便利店、OK便利店~、美容院、美发店、面包店；会所(羽毛球场、乒乓球场、大型足交通球场地、篮球场地)等生活配套设施完善！还有云门商场~、商场内有电影院~、东海酒家~、盒马生鲜等；小区有四大银行~、华夏银行~、民生银行~、平安银行~、招商银行等,
岭南新世界一楼院子 全新装修直接拎包入住~、户型好,460,45991,白云,3室2厅2卫,100.02㎡,平层,塔楼,低楼层(共16层),暂无数据,暂无,北,钢混结构,其他,,有,有步行街市、711便利店、OK便利店~、美容院、美发店、面包店；会所(羽毛球场、乒乓球场、大型足交通球场地、篮球场地)等生活配套设施完善！还有云门商场~、商场内有电影院~、东海酒家~、盒马生鲜等；小区有四大银行~、华夏银行~、民生银行~、平安银行~、招商银行等,
东平云山花园 3个阳台 入户hua园实用 自住 可3+1房,260,26955,白云,3室2厅1卫,96.46㎡,平层,塔楼,低楼层(共18层),暂无数据,暂无,南,钢混结构,其他,,有,,小区是实行人车分流~、车位的比例是1:1~、车位充足~、自己开车最方便~、一出来就是广从路~、去白云大道北地铁或者嘉禾望岗地铁口都和方便~、小区门口就有公交车站~、924路~、663路~、66路~、803路~、76路~、509路~、665路~、656路~、799路等多条线路
天河御品 精装大两房带露台~、户型实用~、采光视野好,377,46619,白云,2室2厅1卫,80.87㎡,平层,塔楼,低楼层(共25层),暂无数据,暂无,南,钢混结构,精装,,有,菜市场、商场、交通、银行、医院等配套都完善~、成熟。银行：工行、建行、中行等；医院：一五七医院~、南方医院~、京溪社区医院等；商场：乐购、广柏柏货、摩登柏货、太阳城广场等,地铁3号线和18号线等。小区门口就有公交车站~、有126~、136~、16~、241~、502~、旅游3等
南湖半岛花园精装两房适合婚房满五唯一省税费,220,28864,白云,2室1厅1卫,76.22㎡,平层,塔楼,低楼层(共9层),暂无数据,暂无,东北,钢混结构,其他,,有,,小区门口也有792a公交车站~、途径车辆有B6、232、296、502、504、B6快、560、862B等。自驾：门口可接驳华南快速干线同和站~、交通便利！小区有商场
绿地云央 独门独户 楼层靓 视野好 采光靓,266,26802,白云,3室2厅2卫,99.25㎡,平层,塔楼,中楼层(共31层),暂无数据,暂无,南,钢混结构,其他,,,楼盘直线3km范围内有1个一级及以上医院~、为医疗需求提供了保障。3km范围内有2个商场~、均为购物(完民广场(龙归店)、悦和方)~、基本可满足日常购物需求。生态环境优越~、3km范围内有45个公园~、距离最近的仅195m~、方便日常休闲..,北太路柏塘村口站~、650路、701、728路、735路、797路、758路、828路等公交车~、发车较频密~、可以自主安排乘坐；~、每天早晚高峰期直达龙归地铁站及珠江新城
城西花园方正2房 满五年唯一 业主诚意,95,16901,白云,2室1厅1卫,56.21㎡,平层,塔楼,高楼层(共9层),暂无数据,48.93㎡,东南,钢混结构,其他,,,白云儿童公园~、滨江公园；医院:广州中医药大学金沙洲医院；银行：工商银行、农业银行、邮政银行、农商银行、民生银行；华润家~、钱大妈~、点都德~、肯德基~、麦当劳~、金沙汇广场~、金悦购物广~、金永喜市~、果园~、城西综合菜市场~、星巴克,地铁:沙贝地铁站和横沙地铁站~、公交站环洲二路东:广974路~、广夜91路;环洲三路东:55路、290路、广657路、广974路、广夜91路、夜96路；金沙洲大桥西：佛276路、高峰快线25路、745路、830路广12路广231路、广276地铁:沙贝地铁站和横沙地铁站~、
松涛南苑 高层两房 户型格局好 位置安静 南向通风采光,138,20241,白云,2室1厅1卫,68.18㎡,平层,塔楼,高楼层(共8层),暂无数据,64.16㎡,南,钢混结构,简装,,,菜市场~、外语外贸学院~、医院~、银行~、宾馆~、商铺~、酒楼~、小区外面公交车站和地铁3号线延长线~、给生活带来更多的便利！,交通出行：76、233、529、805、864、76A、126、268、539、804、夜班9路等多路公交车~、地铁3号线延长线出行方便
富力半岛 3室1厅 东,228,30312,白云,3室1厅1卫,75.22㎡,平层,塔楼,高楼层(共18层),暂无数据,暂无,东,钢混结构,其他,,有,,
房子视野不错~、满五年唯一~、户型很方正~、有生活阳台,163,19780,白云,2室2厅1卫,82.41㎡,平层,塔楼,中楼层(共17层),暂无数据,暂无,西北,钢混结构,简装,,有,广州富力城商城~、ATM:中国邮政储蓄银行~、建设银行~、交通银行~、广州农商银行内部配套：足球场~、篮球场~、网球场~、高尔夫练习场~、游乐场~、风情街~、会所~、洗衣店~、户外露天游泳池~、幼儿园,公交：511路、523路、539路、834路、840路、21路、127路、978路~、地铁：2号线嘉禾望岗站、3号线嘉禾望岗站
汇侨新城两房 双地铁口 高楼层 视野开阔,128,17525,白云,2室1厅1卫,73.04㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,南,钢混结构,其他,,,广州市妇女儿童医疗白云院区364米~、新市街棠涌社区卫生服务站521米~、工商银行广州汇侨新城支行27米~、中国银行广州新市支行223米~、中国建设银行广州汇侨支行306米。,汇侨新城公交总站62米；地铁12号线南航新村站（在建）416米；地铁12号线/14号线新市墟站（在建）650米；广州白云站1525米。
利海绿洲花园 大三房 看花园 安静舒适,402,27552,白云,3室2厅2卫,145.91㎡,平层,塔楼,中楼层(共12层),暂无数据,123.5㎡,南,钢混结构,其他,,有,幼儿园、游泳池、网球场、桌球、乒乓球室、艺术长廊等各类娱乐休闲配套设施。项目内拥有6000平方米尊尚会所~、会所分为三层~、有室外游泳池、网球场、篮球场、桑拿室；中西餐厅、咖啡厅；阅览室；桌球、乒乓球室。,小区门口就是广从路~、进出便利。另外路口就是永泰汽车客运站~、搭公交很便利。小区门口有公交~、一站到地铁14号线东平站
机场路 南向 中层两房 精装修 双地铁 时代物业,205,25028,白云,2室2厅1卫,81.91㎡,平层,塔楼,中楼层(共8层),暂无数据,74.35㎡,南,钢混结构,精装,,,区位于机场路乐嘉路这边~、小区由时代物业管理~、小区近地铁2号线飞翔公园站~、未来地铁14号线乐嘉路站也在小区旁边。五号停机坪购物广场~、凯德广场~、各大银行~、菜市场~、便利店~、酒店等过去都方便满足您的生活所需！,该小区现有地铁二号线飞翔公园站~、步行700米左右~、地铁14号线二期乐嘉路在建~、步行200米左右~、门口心谊路这边有公交车站途径63~、58A~、58~、271~、475~、741~、752等多路公交
小区物业 房子满五低税 南北对流 采光通风好 看房方便,214,27876,白云,2室1厅1卫,76.77㎡,平层,塔楼,中楼层(共7层),暂无数据,暂无,南北,钢混结构,其他,,有,有人人佳~、景泰步行街~、麦当劳~、广园幼儿园~、中英文幼儿园。云苑肉菜市场~、柯子岭市场~、景泰肉菜市场~、广东省第二中医院白云分院~、广州市中医药大学附属。达广场~、凯德广场新体育馆云溪生态公园儿童公园~、白云山风景区,265、34、36、38、522、529、544、547、66、76A、76、805、834、864、885、大学城1线地铁二号线飞翔公园
